# Master per-run downstream results: one row per (method, seed).
# val_bpb/train_bpb (6-dec from run logs), core (DCLM CORE = centered mean of 22 tasks),
# then the 22 per-task CENTERED accuracies. All paper downstream tables derive from this.
method	seed	val_bpb	train_bpb	core	hellaswag_zeroshot	jeopardy	bigbench_qa_wikidata	arc_easy	arc_challenge	copa	commonsense_qa	piqa	openbook_qa	lambada_openai	hellaswag	winograd	winogrande	bigbench_dyck_languages	agi_eval_lsat_ar	bigbench_cs_algorithms	bigbench_operators	bigbench_repeat_copy_logic	squad	coqa	boolq	bigbench_language_identification
fsp_bpe_init_f1.15	51	0.712994	0.702428	0.259442	0.404103	0.099669	0.494907	0.571829	0.209329	0.300000	0.032555	0.485310	0.224000	0.433922	0.404899	0.289377	0.146014	0.171000	0.119565	0.456818	0.161905	0.000000	0.471996	0.333709	-0.283599	0.180418
fsp_bpe_init_f1.15	52	0.712725	0.702202	0.270251	0.402509	0.112423	0.477978	0.592031	0.186576	0.380000	0.105242	0.497280	0.232000	0.439356	0.411804	0.347985	0.134964	0.168000	0.114130	0.380303	0.171429	0.000000	0.461400	0.334837	-0.181394	0.176678
fsp_bpe_init_f1.15	53	0.712572	0.701997	0.266836	0.400916	0.124232	0.476059	0.574635	0.184300	0.380000	0.040745	0.495103	0.200000	0.438579	0.413663	0.355311	0.138121	0.130000	0.086956	0.390152	0.180952	0.031250	0.469347	0.342102	-0.160470	0.178438
fsp_bpe_init_f1.15	54	0.712763	0.702191	0.268824	0.400518	0.106282	0.482801	0.579125	0.196815	0.380000	0.112408	0.487486	0.216000	0.445760	0.403704	0.326007	0.146014	0.155000	0.027174	0.421212	0.152381	0.000000	0.469347	0.336716	-0.103332	0.172717
fsp_bpe_init_f1.15	55	0.712626	0.702068	0.274215	0.407289	0.103448	0.461739	0.579125	0.185438	0.360000	0.066339	0.489663	0.261333	0.430041	0.414858	0.274725	0.123915	0.145000	0.103261	0.437879	0.209524	0.031250	0.421854	0.328323	0.020602	0.177118
fsp_bpe_init_f1.15	56	0.712648	0.702114	0.263630	0.406360	0.114785	0.468186	0.593715	0.191126	0.340000	0.081695	0.494015	0.232000	0.430623	0.408484	0.340659	0.158642	0.146000	0.065217	0.408333	0.152381	0.062500	0.450993	0.339096	-0.269113	0.184158
fsp_bpe_init_f1.15	57	0.712746	0.702180	0.265566	0.409945	0.112423	0.473205	0.579125	0.185438	0.340000	0.141073	0.484222	0.194667	0.429459	0.409679	0.304029	0.123915	0.150000	0.114130	0.352273	0.152381	0.031250	0.474078	0.347488	-0.137937	0.171617
fsp_bpe_init_f1.15	58	0.712555	0.701935	0.267809	0.404368	0.105338	0.469760	0.588664	0.192264	0.320000	0.113432	0.495103	0.208000	0.432564	0.405032	0.355311	0.147593	0.144000	0.125000	0.353788	0.176190	0.000000	0.459697	0.327446	-0.101722	0.169967
fsp_bpe_init_f1.15	59	0.712327	0.701705	0.259336	0.402244	0.121871	0.467841	0.584736	0.194539	0.280000	0.035627	0.485310	0.226667	0.432758	0.410343	0.362637	0.095501	0.141000	0.081522	0.348485	0.166667	0.000000	0.458846	0.331329	-0.109770	0.187239
fsp_bpe_init_f1.15	60	0.712359	0.701803	0.270984	0.398925	0.132263	0.472024	0.574074	0.193402	0.300000	0.069410	0.483134	0.218667	0.430623	0.405430	0.326007	0.138121	0.177000	0.097826	0.431818	0.157143	0.031250	0.453264	0.328698	-0.038951	0.181518
fsp_bpe_init_f1.15	61	0.712737	0.702176	0.275749	0.404899	0.119981	0.471680	0.584175	0.202503	0.380000	0.078624	0.475517	0.229333	0.425189	0.406493	0.413919	0.119179	0.159000	0.032609	0.398485	0.171429	0.000000	0.494797	0.350119	-0.025270	0.173817
fsp_bpe_init_f1.15	62	0.712377	0.701855	0.255031	0.406227	0.106755	0.472713	0.592031	0.207053	0.360000	0.140049	0.476605	0.208000	0.425383	0.409148	0.333333	0.139700	0.148000	0.086956	0.343939	0.166667	0.000000	0.439451	0.326819	-0.356028	0.177888
